1년 2개월	NNG
1년 6개월	NNG
1년 6개월 간	NNG
1년 6개월여 동안	NNG
1년 6월	NNG
1년 7개월 만	NNG
1년 동안	NNG
1년 만	NNG
1년 이내	NNG
1년 이상	NNG
1년 이하	NNG
1년2월	NNG
1년6월	NNG
1년가량	NNG
1년간	NNG
1년까지	NNG
1년만	NNG
1년째	NNG
1달	NNG
1박 2일	NNG
1박2일간	NNG
1분기	NNG
1월 13일부터 24일까지	NNG
1일	NNG
1주	NNG
1주일	NNG
1주일 만	NNG
1주일 이내	NNG
1주일간	NNG
1주일만	NNG
1주일사이	NNG
1주일여만	NNG
1학기	NNG
2~3년	NNG
2~3년간	NNG
2∼3주 내	NNG
2000∼2007년	NNG
2000년부터 2001년 사이	NNG
2001∼2005년	NNG
2002년 5월부터 2013년 2월까지	NNG
2004-2005시즌부터 2013-2014시즌까지	NNG
2004∼2005년	NNG
2005년부터 2011년까지	NNG
2006년부터 2014년까지	NNG
2008~2010년	NNG
2008~2011년	NNG
2008년 1월부터 2011년 5월까지	NNG
2008년 3월부터 작년 12월 사이	NNG
2008년부터 올해까지	NNG
2009~2010	NNG
2009∼2010년	NNG
2009년 3월부터 지난해 7월까지	NNG
2010-2011시즌	NNG
2010~2011년	NNG
2010∼2012년	NNG
2010년 2~3월	NNG
2010년 6∼7월	NNG
2010년 하반기	NNG
2010년부터 2012년까지	NNG
2011-2012시즌	NNG
2011∼2012년	NNG
2011∼2013년	NNG
2011년 10월∼2012년 9월까지	NNG
2011년 1월부터 지난해 10월까지	NNG
2011년 4월 18일∼2011년 7월 12일	NNG
2011년부터 지난해 상반기까지	NNG
2012-2013	NNG
2012∼2014년	NNG
2012년 10월부터 작년 4월까지	NNG
2012년부터 지난해까지	NNG
2013 시즌	NNG
2013-2014	NNG
2013-2014시즌	NNG
2013년 1월 1일부터 지난해 10월 31일까지	NNG
2013년 2월부터 작년까지	NNG
2013년 6월부터 지난 4월까지	NNG
2013년까지	NNG
2013년부터 작년까지	NNG
2014-2015	NNG
2014. 10. 17 ~ 10. 27	NNG
2014~2023년	NNG
2014∼2015년	NNG
2014년 5월~올해 1월	NNG
2014년부터 지난해 사이	NNG
2015-16	NNG
2015-2016	NNG
2015년 1∼3월	NNG
2015년 12월 29일부터 2016년 1월 4일 사이	NNG
2015년 3월부터 5월까지	NNG
20년	NNG
20년 동안	NNG
